run  nodes min_peers  max_peers  messages  transmissions
  0     10         5         25    5850.0       286606.0
  1     50         5         25    5983.0      1585037.0
  2    100         5         25    6092.0      3319070.0
  3    500         5         25    6010.0     16333873.0
  4   1000         5         25    5918.0     31981435.0
  5    100         2          4    5970.0       959780.0
  6    100         5         10    5861.0      3087088.0
  7    100        10         20    5995.0      6970104.0
  8    100        25         50    6064.0     18064656.0
  9    100        50        100    6079.0     35336834.0
